ReservoirIdentifier,ReservoirName,RiverName,TownName
"10204","新山水庫","基隆河支流大武崙溪支流新山溪","基隆巿安樂區"
"10203","西勢水庫","基隆河支流西勢溪","基隆巿暖暖區"
"10205","翡翠水庫","新店溪支流北勢溪","新北市新店區"
"10302","粗坑壩","淡水河支流新店溪","新北市新店區"
"10212","直潭壩","淡水河支流新店溪","新北市新店區"
"10211","青潭堰","淡水河支流新店溪","新北市新店區"
"10214","阿玉壩","新店溪支流桶後溪","新北市烏來區"
"10213","羅好壩","新店溪支流南勢溪","新北市烏來區"
"10209","桂山壩","新店溪支流南勢溪","新北市烏來區"
"10206","榮華壩","淡水河支流大漢溪","桃園市復興區"
"10201","石門水庫","淡水河支流大漢溪","桃園市龍潭區、大溪區、復興區"
"10207","鳶山堰","淡水河支流大漢溪","新北市三峽區、鶯歌區"
"10802","羅東攔河堰","羅東溪","宜蘭縣三星鄉"
"10401","寶山水庫","頭前溪支流柴梳溪、頭前溪支流上坪溪(越域取水)","新竹縣寶山鄉"
"10405","寶山第二水庫","中港溪(越域取水－上坪溪)","新竹縣寶山鄉"
"10404","隆恩堰","頭前溪","新竹縣竹東鎮、竹北市"
"10503","大埔水庫","中港溪支流峨眉溪","新竹縣峨眉鄉"
"20510","劍潭水庫","中港溪支流南港溪","苗栗縣造橋鄉"
"10501","永和山水庫","中港溪支流北坑溝、中港溪支流南庄溪(越域引水)","苗栗縣頭份市、三灣鄉"
"10601","明德水庫","後龍溪支流老田寮溪","苗栗縣頭屋鄉"
"20101","鯉魚潭水庫","大安溪支流景山溪","苗栗縣三義鄉、卓蘭鎮、大湖鄉"
"20405","士林攔河堰","大安溪","苗栗縣泰安鄉"
"20201","德基水庫","大甲溪、大甲溪支流志樂溪","臺中市和平區"
"20207","青山壩","大甲溪","臺中市和平區"
"20203","谷關水庫","大甲溪、大甲溪支流小雪溪","臺中市和平區"
"20205","天輪壩","大甲溪","臺中市和平區"
"20206","馬鞍壩","大甲溪","臺中市和平區"
"20202","石岡壩","大甲溪","臺中市石岡區"
"20501","霧社水庫","濁水溪支流霧社溪","南投縣仁愛鄉"
"20507","武界壩","濁水溪支流萬大溪","南投縣仁愛鄉"
"20502","日月潭水庫","濁水溪(武界壩越域引水至水社水尾溪)","南投縣魚池鄉"
"20504","頭社水庫","濁水溪支流水里溪支流大舌滿溪","南投縣魚池鄉"
"20508","明湖下池水庫","濁水溪支流水里溪、日月潭水庫","南投縣水里鄉"
"20505","明潭下池水庫","濁水溪支流水里溪、日月潭水庫","南投縣水里鄉"
"20506","銃櫃壩","濁水溪支流水里溪支流銃櫃溪","南投縣水里鄉"
"20503","集集攔河堰","濁水溪","南投縣集集鎮"
"20509","湖山水庫","北港溪支流、清水溪","雲林縣斗六市、古坑鄉"
"30306","內埔子水庫","朴子溪","嘉義縣民雄鄉"
"30301","仁義潭水庫","八掌溪(引水渠)","嘉義縣番路鄉"
